time_frame;atom;xpos;ypos;gate;size
0;0;6;44;1;1
0;1;12;44;1;1
0;2;18;44;1;1
0;3;30;44;1;1
0;4;48;44;1;1
0;5;78;44;1;1
0;6;6;50;1;1
0;7;84;50;1;1
0;8;90;56;1;1
0;9;54;68;1;1
0;10;24;86;1;1
0;11;90;98;1;1
1;0;6;44;2;2
1;1;12;44;2;2
1;2;18;44;2;2
1;3;30;44;2;2
1;4;48;44;2;2
1;5;78;44;2;2
1;6;6;50;2;2
1;7;84;50;2;2
1;8;90;56;2;2
1;9;54;68;2;2
1;10;24;86;2;2
1;11;90;98;2;2
2;3;30;44;3;2
2;5;78;44;3;2
2;0;6;44;1;1
2;1;12;44;1;1
2;2;18;44;1;1
2;4;48;44;1;1
2;6;6;50;1;1
2;7;84;50;1;1
2;8;90;56;1;1
2;9;54;68;1;1
2;10;24;86;1;1
2;11;90;98;1;1
3;7;84;50;3;2
3;0;6;44;1;1
3;1;12;44;1;1
3;2;18;44;1;1
3;3;30;44;1;1
3;4;48;44;1;1
3;5;78;44;1;1
3;6;6;50;1;1
3;8;90;56;1;1
3;9;54;68;1;1
3;10;24;86;1;1
3;11;90;98;1;1
4;0;6;44;2;2
4;1;12;44;2;2
4;2;18;44;2;2
4;3;30;44;2;2
4;4;48;44;2;2
4;5;78;44;2;2
4;6;6;50;2;2
4;7;84;50;2;2
4;8;90;56;2;2
4;9;54;68;2;2
4;10;24;86;2;2
4;11;90;98;2;2
5;0;7;43;1;1
5;1;13;43;1;1
5;2;18;44;1;1
5;3;30;44;1;1
5;4;48;44;1;1
5;5;78;44;1;1
5;6;6;50;1;1
5;7;84;50;1;1
5;8;90;56;1;1
5;9;54;68;1;1
5;10;24;86;1;1
5;11;90;98;1;1
6;0;25;1;1;1
6;1;27;1;1;1
6;2;18;44;1;1
6;3;30;44;1;1
6;4;48;44;1;1
6;5;78;44;1;1
6;6;6;50;1;1
6;7;84;50;1;1
6;8;90;56;1;1
6;9;54;68;1;1
6;10;24;86;1;1
6;11;90;98;1;1
7;0;26;0;1;1
7;1;28;0;1;1
7;2;18;44;1;1
7;3;30;44;1;1
7;4;48;44;1;1
7;5;78;44;1;1
7;6;6;50;1;1
7;7;84;50;1;1
7;8;90;56;1;1
7;9;54;68;1;1
7;10;24;86;1;1
7;11;90;98;1;1
8;0;26;0;4;3
8;1;28;0;4;3
8;2;18;44;1;1
8;3;30;44;1;1
8;4;48;44;1;1
8;5;78;44;1;1
8;6;6;50;1;1
8;7;84;50;1;1
8;8;90;56;1;1
8;9;54;68;1;1
8;10;24;86;1;1
8;11;90;98;1;1
9;0;25;1;1;1
9;1;27;1;1;1
9;2;18;44;1;1
9;3;30;44;1;1
9;4;48;44;1;1
9;5;78;44;1;1
9;6;6;50;1;1
9;7;84;50;1;1
9;8;90;56;1;1
9;9;54;68;1;1
9;10;24;86;1;1
9;11;90;98;1;1
10;0;7;43;1;1
10;1;13;43;1;1
10;2;18;44;1;1
10;3;30;44;1;1
10;4;48;44;1;1
10;5;78;44;1;1
10;6;6;50;1;1
10;7;84;50;1;1
10;8;90;56;1;1
10;9;54;68;1;1
10;10;24;86;1;1
10;11;90;98;1;1
11;0;6;44;1;1
11;1;12;44;1;1
11;2;18;44;1;1
11;3;30;44;1;1
11;4;48;44;1;1
11;5;78;44;1;1
11;6;6;50;1;1
11;7;84;50;1;1
11;8;90;56;1;1
11;9;54;68;1;1
11;10;24;86;1;1
11;11;90;98;1;1
